gov_id,category,level,n_runs,debris_mean,debris_median,debris_min,debris_max,pct_sustainable,pct_capacity_ok,pct_both_ok
cnc_low,C&C,Low,6,97017.32256658062,94378.53984658275,47391.51583088255,149869.65820254828,0.0,0.0,0.0
cnc_med,C&C,Medium,6,61932.29381582447,60514.71729239072,27949.513973849986,109743.95359332212,0.0,16.666666666666664,0.0
cnc_high,C&C,High,6,33794.73996408535,24822.532344641506,12716.666478899951,73823.7467473963,66.66666666666666,66.66666666666666,66.66666666666666
mkt_low,Market,Low,6,85291.30512968305,82983.17868657957,39245.93705238819,141053.70551190656,0.0,0.0,0.0
mkt_med,Market,Medium,6,39991.16886981559,37102.211303417505,18905.6556162081,71924.45866501071,50.0,33.33333333333333,33.33333333333333
mkt_high,Market,High,6,19980.553527110784,16151.900510593889,10354.93249218146,37506.93443903164,83.33333333333334,83.33333333333334,83.33333333333334
lib_low,Liability,Low,6,97535.16641086084,94211.30634461489,45084.09271828548,158138.9923764788,0.0,0.0,0.0
lib_med,Liability,Medium,6,62856.45849532526,61402.82620883698,28045.0710352825,111964.93863525636,16.666666666666664,16.666666666666664,16.666666666666664
lib_high,Liability,High,6,33683.648272399856,24836.69155906414,12726.406905258926,73383.16535527994,66.66666666666666,66.66666666666666,66.66666666666666
stm_low,Coordination,Low,6,42751.937087713806,34703.869982864024,17639.579813436667,85397.21642676284,50.0,33.33333333333333,33.33333333333333
stm_med,Coordination,Medium,6,42747.88999395769,34632.835669184584,17628.352615537267,85726.66856339577,50.0,33.33333333333333,33.33333333333333
stm_high,Coordination,High,6,42726.30575834376,34697.343408435285,17620.575130093683,85393.87468999103,50.0,33.33333333333333,33.33333333333333
mix_rules_stm,Mix,Rules+Coord,6,52459.761309752204,48222.741271059334,22730.849911226047,98161.41594168745,33.33333333333333,16.666666666666664,16.666666666666664
mix_fees_enf,Mix,Fees+Enforce,6,33036.3087082471,27475.167104896835,15156.408234958635,62880.131188450374,66.66666666666666,50.0,50.0
mix_all,Mix,All Four,6,33097.23946556958,27534.577711644295,15166.74227106528,63049.07090830035,66.66666666666666,50.0,50.0
failure,Failure,Failure,6,266309.55543492275,251941.10534560052,106403.08100719952,445904.74931755767,0.0,0.0,0.0
