run_id,gov_id,category,level,launch_growth,solar,behavior,solar_model,target_pm,effective_pm,deltat,alpha,slotting,gov_launch_scale,eff_launch_scale,total_debris_final,peak_debris_count,total_collisions,total_sats_final,collision_risk_per_sat,debris_growth_rate,sustainable,capacity_ok,run_seconds,status
cnc_low_g1.0_exp_responsive,cnc_low,C&C,Low,1.0,low,responsive,static_exp_dens_func,0.6,0.6,25,1e-05,1.0,1.0,1.0,47391.51583088255,47391.51583088255,38818.51583088255,56604.371519175904,0.6857865353691273,261.19593344420775,False,False,128.8167371749878,ok
cnc_low_g1.0_exp_sluggish,cnc_low,C&C,Low,1.0,low,sluggish,static_exp_dens_func,0.6,0.6,25,1e-05,1.0,1.0,1.0,47401.97183989112,47401.97183989112,38828.97183989112,56562.149743630674,0.6864833111167872,261.2249046161839,False,False,141.52776908874512,ok
cnc_low_g1.0_jb_responsive,cnc_low,C&C,Low,1.0,high,responsive,JB2008_dens_func,0.6,0.6,25,1e-05,1.0,1.0,1.0,2825.90725202324,19646.383178812386,0.0,56625.94247911239,0.0,-321.51133563564935,True,True,271.84434604644775,ok
cnc_low_g1.0_jb_sluggish,cnc_low,C&C,Low,1.0,high,sluggish,JB2008_dens_func,0.6,0.6,25,1e-05,1.0,1.0,1.0,2789.8462219537864,19634.873808308457,0.0,56625.971957141155,0.0,-307.12923233390046,True,True,312.62293314933777,ok
cnc_low_g2.0_exp_responsive,cnc_low,C&C,Low,2.0,low,responsive,static_exp_dens_func,0.6,0.6,25,1e-05,1.0,1.0,2.0,94405.10983398462,94405.10983398462,85832.10983398462,112925.8226371742,0.7600751345399491,708.942068860738,False,False,201.39829087257385,ok
cnc_low_g2.0_exp_sluggish,cnc_low,C&C,Low,2.0,low,sluggish,static_exp_dens_func,0.6,0.6,25,1e-05,1.0,1.0,2.0,94351.96985918087,94351.96985918087,85778.96985918087,112857.84369685591,0.7600621015725695,708.8115918097616,False,False,178.1234941482544,ok
cnc_low_g2.0_jb_responsive,cnc_low,C&C,Low,2.0,high,responsive,JB2008_dens_func,0.6,0.6,25,1e-05,1.0,1.0,2.0,4776.074449436028,32983.766914360975,0.0,112992.69918015163,0.0,-532.3589289518799,True,True,290.5759279727936,ok
cnc_low_g2.0_jb_sluggish,cnc_low,C&C,Low,2.0,high,sluggish,JB2008_dens_func,0.6,0.6,25,1e-05,1.0,1.0,2.0,4762.965483839389,32815.14221560219,0.0,112950.86345985266,0.0,-532.3430048586009,True,True,299.1246290206909,ok
cnc_low_g3.0_exp_responsive,cnc_low,C&C,Low,3.0,low,responsive,static_exp_dens_func,0.6,0.6,25,1e-05,1.0,1.0,3.0,149869.65820254828,149869.65820254828,141296.65820254828,169404.03560034905,0.834080827542323,1307.2548936248884,False,False,123.60574412345886,ok
cnc_low_g3.0_exp_sluggish,cnc_low,C&C,Low,3.0,low,sluggish,static_exp_dens_func,0.6,0.6,25,1e-05,1.0,1.0,3.0,148683.7098329964,148683.7098329964,140110.7098329964,169477.46933469202,0.8267217488142876,1285.810168869611,False,False,131.71262788772583,ok
