parameter,value,total_debris_final,peak_debris_count,total_collisions,total_sats_final
deltat,5.0,17622.95804610444,19935.792509795778,9049.95804610444,4.640261030199882
deltat,8.0,17629.814079171687,19268.952217604892,9056.814079171689,307.11326394286334
deltat,12.0,17616.382380658186,18453.99200812341,9043.382380658186,3612.406029467455
deltat,15.0,17541.43702816025,17934.66301397762,8968.43702816025,10148.440004372476
deltat,25.0,17116.12072610198,17116.18835371633,8543.12072610198,56503.808351315245
pm,0.5,63748.03302780648,63750.480581001546,55175.03302780648,307.4237756378238
pm,0.6,51245.59019019638,51288.12579981201,42672.59019019638,307.3060653711586
pm,0.7,39164.81186833937,39363.5262006353,30591.81186833937,307.65266846328177
pm,0.8,28010.389470266706,28923.33431337168,19437.389470266706,307.430554178029
pm,0.9,17622.102887783505,19267.826846750035,9049.102887783503,307.2076905963508
pm,0.95,12723.54947824062,14836.251564961498,4150.54947824062,307.213632293568
pm,0.99,8946.394953766769,11369.083610676502,373.3949537667686,308.69824777044437
slotting,0.0,17641.70856051851,19269.913698472286,9068.70856051851,307.09802304773154
slotting,0.25,17617.759054644146,19264.807679244048,9044.759054644146,307.2965093619837
slotting,0.5,17628.62976194018,19268.798305621694,9055.62976194018,307.8334219772893
slotting,0.75,17624.59522561647,19268.44335492057,9051.595225616473,307.20860446020896
slotting,1.0,17628.51757715665,19269.79787677065,9055.51757715665,307.1288060372184
alpha,0.01,17642.315612569342,19280.17489693206,9069.315612569342,307.3483948508378
alpha,0.001,17633.533505562595,19273.644809682544,9060.533505562596,307.1644352407522
alpha,0.0001,17632.005156719628,19267.567489481426,9059.005156719628,307.1790747762578
alpha,1e-05,17641.2825300941,19276.71768640693,9068.2825300941,307.16406144026877
alpha,1e-06,17637.87244730212,19269.563644225524,9064.87244730212,307.09066364271604
launch,0.5,12742.684518489164,14868.885152539187,4169.6845184891645,153.6251993126429
launch,1.0,17624.25827117396,19264.216161165787,9051.25827117396,307.2673462456269
launch,1.5,22718.194125455077,23948.306534817762,14145.194125455077,460.6637380301871
launch,2.0,28002.57411727477,28886.414881893048,19429.57411727477,613.5432468569093
launch,3.0,39144.4351189001,39327.56011107765,30571.435118900103,922.7615822015246
